,0
daily_max_aqhi,0.22115061365370667
daily_mean_aqhi,0.15345963220739828
daily_max_temp,0.07156802389649161
lag1_aqhi,0.06610284537019954
rolling7_mean_aqhi,0.05353836895208566
daily_min_temp,0.048464934361383195
daily_mean_temp,0.04737752854701362
rolling3_mean_aqhi,0.047334634068400536
rolling14_mean_aqhi,0.03906273103228452
month,0.031783210769133256
rain_mm,0.031775599136913184
daily_mean_wspd,0.03167490087001433
lag2_aqhi,0.026930291276409814
lag7_aqhi,0.023467889979844694
day_of_week,0.021165133015147664
lag3_aqhi,0.019383779272607014
rain_occurrence_flag,0.014981706083138606
is_weekend,0.007362706563463248
District_Tuen Mun,0.0038729537078714777
District_Islands,0.0032938467555431723
station_Tung Chung,0.0032028453327901133
station_Tuen Mun,0.002801469918849258
District_Yuen Long,0.002268811932962815
station_Yuen Long,0.0021521142362161618
wind_missing_flag,0.00207574227455318
station_Tsuen Wan,0.0018582206583607505
District_Tsuen Wan,0.0018400451614889043
rain_missing_flag,0.001635761012968319
rain_trace_flag,0.001573521861102041
station_Central,0.0010060912644772187
District_Tai Po,0.0009968117804142107
District_Sha Tin,0.0009728245633604968
station_Tai Po,0.0008692342966619298
District_North,0.0008554287856470679
District_Sai Kung,0.0008393230079730785
District_Sham Shui Po,0.0008266397085700091
station_Southern,0.0007503795089159196
station_Tap Mun,0.0007449108947724282
District_Kwun Tong,0.0007134545151918001
station_Sha Tin,0.0007078195349417778
station_North,0.0006854444794217532
station_Kwun Tong,0.000673897705876174
station_Central/Western,0.0006667909411721837
District_Kwai Tsing,0.000648460655468717
station_Eastern,0.0006292479664812493
station_Kwai Chung,0.0006283692416591931
station_Mong Kok,0.0006053848082583205
station_Tseung Kwan O,0.0006014691875661074
station_Sham Shui Po,0.000574101309854921
District_Southern,0.0005316270222101152
District_Eastern,0.00046647143173197925
District_Wan Chai,0.0004419545327268431
District_Yau Tsim Mong,0.00040400094830495134
temp_missing_flag,3.9645915985329087e-19
