date,year,month,day,day_of_week,is_weekend,WeatherStationName_en,daily_mean_temp,daily_max_temp,daily_min_temp,index_right,District_no,District
2024/11/13,2024,11,13,Wednesday,0,Hong Kong International Airport,25.1,26.9,23.2,17,T,Islands
2024/11/14,2024,11,14,Thursday,0,Hong Kong International Airport,25.1,27,23.3,17,T,Islands
2024/11/15,2024,11,15,Friday,0,Hong Kong International Airport,25,26.8,23.4,17,T,Islands
2024/11/16,2024,11,16,Saturday,1,Hong Kong International Airport,26.1,28.4,24.8,17,T,Islands
2024/11/17,2024,11,17,Sunday,1,Hong Kong International Airport,24.8,26.9,23.4,17,T,Islands
2024/11/18,2024,11,18,Monday,0,Hong Kong International Airport,25,27.7,22.9,17,T,Islands
2024/11/19,2024,11,19,Tuesday,0,Hong Kong International Airport,19.5,22.9,18,17,T,Islands
2024/11/20,2024,11,20,Wednesday,0,Hong Kong International Airport,17.8,18.8,17,17,T,Islands
2024/11/21,2024,11,21,Thursday,0,Hong Kong International Airport,19.1,21.6,16.6,17,T,Islands
2024/11/22,2024,11,22,Friday,0,Hong Kong International Airport,19.6,21.9,18.2,17,T,Islands
2024/11/23,2024,11,23,Saturday,1,Hong Kong International Airport,20,21.9,18,17,T,Islands
2024/11/24,2024,11,24,Sunday,1,Hong Kong International Airport,20.3,21.8,18.8,17,T,Islands
2024/11/25,2024,11,25,Monday,0,Hong Kong International Airport,21.8,23.4,20.5,17,T,Islands
2024/11/26,2024,11,26,Tuesday,0,Hong Kong International Airport,20.6,23.4,18.1,17,T,Islands
2024/11/27,2024,11,27,Wednesday,0,Hong Kong International Airport,19.1,22.5,16,17,T,Islands
2024/11/28,2024,11,28,Thursday,0,Hong Kong International Airport,19.7,22.5,17,17,T,Islands
2024/11/29,2024,11,29,Friday,0,Hong Kong International Airport,19,22.5,16,17,T,Islands
2024/11/30,2024,11,30,Saturday,1,Hong Kong International Airport,19,22.4,15.9,17,T,Islands
2024/12/1,2024,12,1,Sunday,1,Hong Kong International Airport,19.9,23.4,16.1,17,T,Islands
2024/12/2,2024,12,2,Monday,0,Hong Kong International Airport,21.2,24.9,17.8,17,T,Islands
2024/12/3,2024,12,3,Tuesday,0,Hong Kong International Airport,22.2,26,18.7,17,T,Islands
2024/12/4,2024,12,4,Wednesday,0,Hong Kong International Airport,23.3,26.7,21.4,17,T,Islands
2024/12/5,2024,12,5,Thursday,0,Hong Kong International Airport,22,24.8,20.5,17,T,Islands
2024/12/6,2024,12,6,Friday,0,Hong Kong International Airport,21.2,23.3,19.2,17,T,Islands
2024/12/7,2024,12,7,Saturday,1,Hong Kong International Airport,20.3,23.9,17.7,17,T,Islands
2024/12/8,2024,12,8,Sunday,1,Hong Kong International Airport,17.8,21.2,14.8,17,T,Islands
2024/12/9,2024,12,9,Monday,0,Hong Kong International Airport,18.3,21,16.6,17,T,Islands
2024/12/10,2024,12,10,Tuesday,0,Hong Kong International Airport,21.4,25.2,19,17,T,Islands
2024/12/11,2024,12,11,Wednesday,0,Hong Kong International Airport,22,25,19.4,17,T,Islands
2024/12/12,2024,12,12,Thursday,0,Hong Kong International Airport,19,21.9,16.2,17,T,Islands
2024/12/13,2024,12,13,Friday,0,Hong Kong International Airport,18.1,20.8,14.5,17,T,Islands
2024/12/14,2024,12,14,Saturday,1,Hong Kong International Airport,15.3,17.9,13.1,17,T,Islands
2024/12/15,2024,12,15,Sunday,1,Hong Kong International Airport,14.6,17,12.3,17,T,Islands
2024/12/16,2024,12,16,Monday,0,Hong Kong International Airport,15.9,19,14.1,17,T,Islands
2024/12/17,2024,12,17,Tuesday,0,Hong Kong International Airport,17.7,21.2,13.8,17,T,Islands
2024/12/18,2024,12,18,Wednesday,0,Hong Kong International Airport,19,22.4,16.7,17,T,Islands
2024/12/19,2024,12,19,Thursday,0,Hong Kong International Airport,15.6,18.3,13,17,T,Islands
2024/12/20,2024,12,20,Friday,0,Hong Kong International Airport,14.4,17.5,11.5,17,T,Islands
2024/12/21,2024,12,21,Saturday,1,Hong Kong International Airport,16.6,20.7,12.5,17,T,Islands
2024/12/22,2024,12,22,Sunday,1,Hong Kong International Airport,15.8,19.1,12.9,17,T,Islands
2024/12/23,2024,12,23,Monday,0,Hong Kong International Airport,16.6,18.7,15.1,17,T,Islands
2024/12/24,2024,12,24,Tuesday,0,Hong Kong International Airport,17.2,19.5,15.1,17,T,Islands
2024/12/25,2024,12,25,Wednesday,0,Hong Kong International Airport,17.2,18.9,14.9,17,T,Islands
2024/12/26,2024,12,26,Thursday,0,Hong Kong International Airport,19.5,21.8,17,17,T,Islands
2024/12/27,2024,12,27,Friday,0,Hong Kong International Airport,19.7,21.8,18.5,17,T,Islands
2024/12/28,2024,12,28,Saturday,1,Hong Kong International Airport,17.2,19.8,15.1,17,T,Islands
2024/12/29,2024,12,29,Sunday,1,Hong Kong International Airport,15.5,19.5,12.6,17,T,Islands
2024/12/30,2024,12,30,Monday,0,Hong Kong International Airport,17.7,21.2,13.2,17,T,Islands
2024/12/31,2024,12,31,Tuesday,0,Hong Kong International Airport,20.1,22.7,16.9,17,T,Islands
2025/1/1,2025,1,1,Wednesday,0,Hong Kong International Airport,18.6,20.3,17.3,17,T,Islands
2025/1/2,2025,1,2,Thursday,0,Hong Kong International Airport,19.8,22.3,17.2,17,T,Islands
2025/1/3,2025,1,3,Friday,0,Hong Kong International Airport,19.2,22.3,16.8,17,T,Islands
2025/1/4,2025,1,4,Saturday,1,Hong Kong International Airport,18.2,21.9,15.4,17,T,Islands
2025/1/5,2025,1,5,Sunday,1,Hong Kong International Airport,19.4,22.6,17.2,17,T,Islands
2025/1/6,2025,1,6,Monday,0,Hong Kong International Airport,18,21.3,14.1,17,T,Islands
2025/1/7,2025,1,7,Tuesday,0,Hong Kong International Airport,18,21.4,15.4,17,T,Islands
2025/1/8,2025,1,8,Wednesday,0,Hong Kong International Airport,18.2,20.7,16.3,17,T,Islands
2025/1/9,2025,1,9,Thursday,0,Hong Kong International Airport,17.8,21,14.7,17,T,Islands
2025/1/10,2025,1,10,Friday,0,Hong Kong International Airport,14.9,17.7,12.1,17,T,Islands
2025/1/11,2025,1,11,Saturday,1,Hong Kong International Airport,13.8,16.4,10.8,17,T,Islands
2025/1/12,2025,1,12,Sunday,1,Hong Kong International Airport,14.6,20,10.9,17,T,Islands
2025/1/13,2025,1,13,Monday,0,Hong Kong International Airport,16.6,21.7,11.7,17,T,Islands
2025/1/14,2025,1,14,Tuesday,0,Hong Kong International Airport,19,22.2,16.6,17,T,Islands
2025/1/15,2025,1,15,Wednesday,0,Hong Kong International Airport,20.3,23.9,17.3,17,T,Islands
2025/1/16,2025,1,16,Thursday,0,Hong Kong International Airport,16.2,19.1,13.1,17,T,Islands
2025/1/17,2025,1,17,Friday,0,Hong Kong International Airport,15.3,18.7,12.1,17,T,Islands
2025/1/18,2025,1,18,Saturday,1,Hong Kong International Airport,16.2,19.8,13.1,17,T,Islands
2025/1/19,2025,1,19,Sunday,1,Hong Kong International Airport,16.9,21.3,13.1,17,T,Islands
2025/1/20,2025,1,20,Monday,0,Hong Kong International Airport,17.5,20.9,13.7,17,T,Islands
2025/1/21,2025,1,21,Tuesday,0,Hong Kong International Airport,18.6,22.8,16.2,17,T,Islands
2025/1/22,2025,1,22,Wednesday,0,Hong Kong International Airport,19.2,21.8,17.8,17,T,Islands
2025/1/23,2025,1,23,Thursday,0,Hong Kong International Airport,18.7,20,17.2,17,T,Islands
2025/1/24,2025,1,24,Friday,0,Hong Kong International Airport,19.6,22.4,17.8,17,T,Islands
2025/1/25,2025,1,25,Saturday,1,Hong Kong International Airport,18.9,22.2,16.8,17,T,Islands
2025/1/26,2025,1,26,Sunday,1,Hong Kong International Airport,14.5,18.4,11.8,17,T,Islands
2025/1/27,2025,1,27,Monday,0,Hong Kong International Airport,14.2,18.5,10.2,17,T,Islands
2025/1/28,2025,1,28,Tuesday,0,Hong Kong International Airport,15.1,19.1,11.4,17,T,Islands
2025/1/29,2025,1,29,Wednesday,0,Hong Kong International Airport,16.6,20.6,14.3,17,T,Islands
2025/1/30,2025,1,30,Thursday,0,Hong Kong International Airport,17.5,21.6,14.9,17,T,Islands
2025/1/31,2025,1,31,Friday,0,Hong Kong International Airport,19.5,23.7,17.1,17,T,Islands
2025/2/1,2025,2,1,Saturday,1,Hong Kong International Airport,20.1,23.3,17.7,17,T,Islands
2025/2/2,2025,2,2,Sunday,1,Hong Kong International Airport,19.8,22,18.2,17,T,Islands
2025/2/3,2025,2,3,Monday,0,Hong Kong International Airport,15.2,18.2,13,17,T,Islands
2025/2/4,2025,2,4,Tuesday,0,Hong Kong International Airport,14.2,18.3,11.6,17,T,Islands
2025/2/5,2025,2,5,Wednesday,0,Hong Kong International Airport,16.3,19.9,13.5,17,T,Islands
2025/2/6,2025,2,6,Thursday,0,Hong Kong International Airport,17.8,19.4,16.2,17,T,Islands
